ID	Other_ID	Other_ID_2	Genus	Species	Material	Element	Site_Region	Site_updated	Site	Country	Lat	Long	Age_Name_BP	Age info	Date_Maximum_BP	Date_Minimum_BP	Accession	Age_note	Meta Population	mt Haplotype	Sex	Y_chr	Cov (reported)			Mean Depth	BoC %	Bam file location_NIH	Bam file location_LMU (OLD)	Bam file location_LMU (LATEST)	VCF-name-GLOBUS	BAM-directory-GLOBUS	BAM-name-GLOBUS	Notes	Reference	v1_148g	name_haplo_VCF	Spcode	Site_Region	Age_Mean_BP	analysis-ID	Wolf-Dog_PCA	Dog_PCA (European, Arctic+NA, East Asia, Near Eastern Africa)
TRF.01.07	P66/2016KMG	ZMK 58/1985	Canis	familiaris	Bone	Petrous	HallLand	HallLand1	”Monumentet”, Hall Land	Greenland	81.33	-58.00	Post	Collected 1985					Arctic_Dogs	A2a	M		4.73			4.76	97.43	/data/feuerborntr/Bams/TRF.01.07_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.07_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.07_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished GLSD data		TRF.01.07	D	HallLand1	Post	D_HallLand1_Post	Dogs	Arctic_Dogs
TRF.01.08	P67/2016KMG	ZMK 18/1932	Canis	familiaris	Bone	Petrous	Misigtoq	Misigtoq1	Misigtoq	Greenland	65.81	-37	Pre	1350-1500AD					Arctic_Dogs	A1b	M		7.76			7.67	98.67	/data/feuerborntr/Bams/TRF.01.08_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.08_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.08_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished GLSD data		TRF.01.08	D	Misigtoq1	Pre	D_Misigtoq1_Pre	Dogs	Arctic_Dogs
TRF.01.09	P68/2016KMG	ZMK 28/1932	Canis	familiaris	Bone	Petrous	Dodemandsbugten	Dodemandsbugten1	Dødemandsbugten	Greenland	74.27	-21	Pre	Pre-contact					Arctic_Dogs	A1a	M		18.92			18.74	99.14	/data/feuerborntr/Bams/TRF.01.09_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.09_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.09_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished GLSD data		TRF.01.09	D	Dodemandsbugten1	Pre	D_Dodemandsbugten1_Pre	Dogs	Arctic_Dogs
TRF.01.46	P50/2017KMG	ZMK 30/2017	Canis	familiaris	Bone	Petrous	SaundersIsland	SaundersIsland1	Saunders Island	Greenland	76.57	-69.83	Post	Collected 1903/4					Arctic_Dogs	A1a	M		4.29			4.07	88.29	/data/feuerborntr/Bams/TRF.01.46_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.46_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.46_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished GLSD data		TRF.01.46	D	SaundersIsland1	Post	D_SaundersIsland1_Post	Dogs	Arctic_Dogs
TRF.01.49	P53/2017KMG	MK 1057	Canis	familiaris	Bone	Petrous	EastGL	EastGL1	East	Greenland	65.85	-40.76	Post	Collected 1885					Arctic_Dogs	A1a	F		3.36			2.85	83.44	/data/feuerborntr/Bams/TRF.01.49_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.49_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.49_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished GLSD data		TRF.01.49	D	EastGL1	Post	D_EastGL1_Post	Dogs	Arctic_Dogs
TRF.01.57	P61/2017KMG	ZMK 31/2017	Canis	familiaris	Bone	Petrous	Siorapaluk	Siorapaluk1	Siorapaluk	Greenland	77.79	-70.63	Post	Collected Before 1977					Arctic_Dogs	A2a	M		8.42			8.1	91.51	/data/feuerborntr/Bams/TRF.01.57_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.57_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.57_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished GLSD data		TRF.01.57	D	Siorapaluk1	Post	D_Siorapaluk1_Post	Dogs	Arctic_Dogs
TRF.01.61	P59/2014KMG		Canis	familiaris	Bone		Sukkertoppen	Sukkertoppen1	Sukkertoppen	Greenland	65.83	-53.34	Post	Collected 1958					Arctic_Dogs	A1a	F		4.55			4.1	93.77	/data/feuerborntr/Bams/TRF.01.61_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.61_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.61_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished GLSD data		TRF.01.61	D	Sukkertoppen1	Post	D_Sukkertoppen1_Post	Dogs	Arctic_Dogs
3294_Scoresbysund	3294		Canis	familiaris	Tissue	Skin	Scoresbysund	Scoresbysund1	Scoresbysund	Greenland	70.49	-21.99	Post	Collected 1928					Arctic_Dogs	A1b	?		0.25			0.47	25.02	/data/feuerborntr/Mapped/CGG/3294.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/3294.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	3294.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		3294	D	Scoresbysund1	Post	D_Scoresbysund1_Post	Dogs	Arctic_Dogs
31867_NorthStarBay	31867		Canis	familiaris	Tissue	Skin	NorthStarBay	NorthStarBay1	North Star Bay	Greenland	76.56	-68.83	Post	Collected 1909					Arctic_Dogs	A2a	F		0.44			0.45	20.38	/data/feuerborntr/Mapped/CGG/31867.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/31867.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	31867.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		31867	D	NorthStarBay1	Post	D_NorthStarBay1_Post	Dogs	Arctic_Dogs
32135_Tasiilaq	32135		Canis	familiaris	Tissue	Skin	Tasiilaq	Tasiilaq3	Tasiilaq	Greenland	65.61	-37.65	Post	Collected 1911					Arctic_Dogs	A1b	F		0.84			0.87	35.74	/data/feuerborntr/Mapped/CGG/32135.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/32135.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	32135.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		32135	D	Tasiilaq3	Post	D_Tasiilaq3_Post	Dogs	Arctic_Dogs
67941_Qeqertarssuatsiaq	67941		Canis	familiaris	Tissue	Skin	Qeqertarssuatsiaq	Qeqertarssuatsiaq1	Qeqertarssuatsiaq	Greenland	70.42	-54.88	Post	Collected 1918					Arctic_Dogs	A1a	?		0.47			0.41	25.29	/data/feuerborntr/Mapped/CGG/67941.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/67941.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	67941.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		67941	D	Qeqertarssuatsiaq1	Post	D_Qeqertarssuatsiaq1_Post	Dogs	Arctic_Dogs
Obersten_Greenland	Obersten		Canis	familiaris	Pelt		Obersten	Obersten1	Greenland	Greenland	70.93	-39.26	110	Collected 1911					Arctic_Dogs	A1a	F		0.88			1.47	44.08			/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/Obersten.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	Obersten.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		Obersten	D	Obersten1	110	D_Obersten1_110	Dogs	Arctic_Dogs
TRF.01.11	P70/2016KMG	ZMK 139/1967	Canis	familiaris	Bone	Petrous	Nugarsuk	Nugarsuk1	Nugarsuk	Greenland	61.1	-45.5	Pre	1650-1850AD					Arctic_Dogs	A2a	F		1.13			1.09	64.35	/data/feuerborntr/Bams/TRF.01.11_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.11_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.11_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.11	D	Nugarsuk1	Pre	D_Nugarsuk1_Pre	Dogs	Arctic_Dogs
TRF.01.13	P72/2016KMG	ZMK 122/1956	Canis	familiaris	Bone	Petrous	Herlufsholm	Herlufsholm1	Herlufsholm Strand	Greenland	82.50	-21.77	Pre						Arctic_Dogs	NA	M		0.04			0.04	3.57	/data/feuerborntr/Bams/TRF.01.13_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_NA/TRF.01.13_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_NA	TRF.01.13_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.13	D	Herlufsholm1	Pre	D_Herlufsholm1_Pre	Dogs	Arctic_Dogs
TRF.01.21	P25/2017KMG	ZMK 17/2014	Canis	lupus	Bone	Petrous	VardeX	VardeX1	Varde 10, Upernivik	Greenland			Pre						North_American_Wolves	North American Wolf	M		0.04			0.04	4.02	/data/feuerborntr/Bams/TRF.01.21_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.21_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.21_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.21	W	VardeX1	Pre	W_VardeX_Pre	North_American_Wolves	Wolves
TRF.01.25	P29/2017KMG	ZMK 53b/1966	Canis	familiaris	Bone	Petrous	Inugsuk	Inugsuk1	Inugsuk	Greenland	72.95	-56.12	Pre						Arctic_Dogs	NA	F		0.01			0.01	0.45	/data/feuerborntr/Bams/TRF.01.25_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.25_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.25_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.25	D	Inugsuk1	Pre	D_Inugsuk1_Pre	Dogs	Arctic_Dogs
TRF.01.26	P30/2017KMG	ZMK 53a/1966	Canis	familiaris	Bone	Petrous	Inugsuk	Inugsuk2	Inugsuk	Greenland	72.95	-56.12	Pre						Arctic_Dogs	A2a	M		0.02			0.02	2.1	/data/feuerborntr/Bams/TRF.01.26_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.26_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.26_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.26	D	Inugsuk2	Pre	D_Inugsuk2_Pre	Dogs	Arctic_Dogs
TRF.01.30	P34/2017KMG	MK 1059	Canis	familiaris	Bone	Petrous	Qeqertarsuagg	Qeqertarsuagg1	Qeqertarsuagg	Greenland	69.25	-53.53	Post	Collected 1950					Arctic_Dogs	A1a	M		7.33			6.81	98.24	/data/feuerborntr/Bams/TRF.01.30_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.30_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.30_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.30	D	Qeqertarsuagg1	Post	D_Qeqertarsuagg1_Post	Dogs	Arctic_Dogs
TRF.01.35	P39/2017KMG	ZMK 31/2017	Canis	familiaris	Bone	Petrous	Siorapaluk	Siorapaluk2	Siorapaluk, Qaanaaq	Greenland	77.79	-70.63	Post	Collected Before 1977					Arctic_Dogs	A2a	M		5.62			5.33	94.77	/data/feuerborntr/Bams/TRF.01.35_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.35_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GLSD	TRF.01.35_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.35	D	Siorapaluk2	Post	D_Siorapaluk2_Post	Dogs	Arctic_Dogs
TRF.01.36	P40/2017KMG	ZMK 19/2017	Canis	familiaris			Ittoqqortoomiit	Ittoqqortoomiit1	Scorsbysund, Ittoqqortoomiit	Greenland	70.49	-21.99	Post						Arctic_Dogs	NA	M		0.01			0.01	1.27	/data/feuerborntr/Bams/TRF.01.36_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.36_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.36_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.36	D	Ittoqqortoomiit1	Post	D_Ittoqqortoomiit1_Post	Dogs	Arctic_Dogs
TRF.01.37	P41/2017KMG	MK1049	Canis	familiaris			Tasiilaq	Tasiilaq4	Angmagsilik (Tasiilaq)	Greenland	65.61	-37.63	Post						Arctic_Dogs	A1b	F		0.02			0.02	1.94	/data/feuerborntr/Bams/TRF.01.37_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.37_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.37_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.37	D	Tasiilaq4	Post	D_Tasiilaq4_Post	Dogs	Arctic_Dogs
TRF.01.41	P45/2017KMG	MK 1050	Canis	familiaris			Hvidovre	Hvidovre1	Hvidovre	Greenland	70.50	-25.00	Post						Arctic_Dogs	A1b	M		0.05			0.05	4.68	/data/feuerborntr/Bams/TRF.01.41_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.41_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.41_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.41	D	Hvidovre1	Post	D_Hvidovre1_Post	Dogs	Arctic_Dogs
TRF.01.42	P46/2017KMG	ZMK 21/2017	Canis	familiaris			Scoresbysund	Scoresbysund2	Scorsbysund	Greenland	70.49	-21.99	Post						Arctic_Dogs	A1b	F		0.06			0.06	5.38	/data/feuerborntr/Bams/TRF.01.42_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.42_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.42_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.42	D	Scoresbysund2	Post	D_Scoresbysund2_Post	Dogs	Arctic_Dogs
TRF.01.45	P49/2017KMG	ZMK 20/2017	Canis	familiaris	Bone	Petrous	Inugsuk	Inugsuk3	Inugsuk	Greenland	72.79	-56.15	Pre	1300-1400 AD					Arctic_Dogs	A2a	F		0.98			0.93	56.9	/data/feuerborntr/Bams/TRF.01.45_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.45_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.45_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.45	D	Inugsuk3	Pre	D_Inugsuk3_Pre	Dogs	Arctic_Dogs
TRF.01.52	P56/2017KMG	ZMK 29/2017	Canis	familiaris			Godthab	Godthab1	Nuuk (Godthåb)	Greenland	64.18	-51.74	Post						Arctic_Dogs	A1a	M		0.02			0.01	1.44	/data/feuerborntr/Bams/TRF.01.52_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.52_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.52_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.52	D	Godthab1	Post	D_Godthab1_Post	Dogs	Arctic_Dogs
TRF.01.53	P57/2017KMG	MK1055	Canis	familiaris			Ittoqqortoomiit	Ittoqqortoomiit2	Scorsbysund, Ittoqqortoomiit	Greenland	70.49	-21.99	Post						Arctic_Dogs	A1b	F		0.02			0.02	1.89	/data/feuerborntr/Bams/TRF.01.53_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.53_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.53_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.53	D	Ittoqqortoomiit2	Post	D_Ittoqqortoomiit2_Post	Dogs	Arctic_Dogs
TRF.01.54	P58/2017KMG	ZMK 31/2017	Canis	familiaris			Siorapaluk	Siorapaluk3	Siorapaluk, Qaanaaq	Greenland	77.79	-70.63	Post						Arctic_Dogs	A2a	F		0.1			0.1	9.06	/data/feuerborntr/Bams/TRF.01.54_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.54_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.54_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.54	D	Siorapaluk3	Post	D_Siorapaluk3_Post	Dogs	Arctic_Dogs
TRF.01.55	P59/2017KMG	ZMK 31/2017	Canis	familiaris			Siorapaluk	Siorapaluk4	Siorapaluk, Qaanaaq	Greenland	77.79	-70.63	Post						Arctic_Dogs	A1a	M		0.07			0.07	6.62	/data/feuerborntr/Bams/TRF.01.55_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.55_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.55_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.55	D	Siorapaluk4	Post	D_Siorapaluk4_Post	Dogs	Arctic_Dogs
TRF.01.56	P60/2017KMG	ZMK 31/2017	Canis	familiaris	Bone	Petrous	Siorapaluk	Siorapaluk5	Siorapaluk	Greenland	77.79	-70.63	Post	Collected Before 1977					Arctic_Dogs	A2a	F		1.36			1.33	69.77	/data/feuerborntr/Bams/TRF.01.56_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.56_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.56_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.56	D	Siorapaluk5	Post	D_Siorapaluk5_Post	Dogs	Arctic_Dogs
TRF.01.58	P62/2017KMG	ZMK 31/2018	Canis	familiaris			Siorapaluk	Siorapaluk6	Siorapaluk, Qaanaaq	Greenland	77.79	-70.63	Post						Arctic_Dogs	A2a	M		0.07			0.07	6.6	/data/feuerborntr/Bams/TRF.01.58_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.01.58_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.01.58_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.01.58	D	Siorapaluk6	Post	D_Siorapaluk6_Post	Dogs	Arctic_Dogs
TRF.02.04	-	31369	Canis	familiaris	Skin		Godthab	Godthab2	Godthåb distrikt	Greenland	64.18	-51.74	Post	Collected 1892					Arctic_Dogs	A1a	F		1.05			0.96	40.86	/data/feuerborntr/Bams/TRF.02.04_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.04_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.04_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.04	D	Godthab2	Post	D_Godthab2_Post	Dogs	Arctic_Dogs
TRF.02.19	Lu.788	94071	Canis	familiaris			NorthGL	NorthGL1	North	Greenland			Post						Arctic_Dogs	A1a	M		0.09			0.09	8.76	/data/feuerborntr/Bams/TRF.02.19_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.19_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.19_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.19	D	NorthGL1	Post	D_NorthGL1_Post	Dogs	Arctic_Dogs
TRF.02.37	L.5083	32180	Canis	familiaris			Tasiilaq	Tasiilaq5	Tasiilaq	Greenland	65.61	-37.63	Post						Arctic_Dogs	A1b	M		0.05			0.05	4.44	/data/feuerborntr/Bams/TRF.02.37_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.37_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.37_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.37	D	Tasiilaq5	Post	D_Tasiilaq5_Post	Dogs	Arctic_Dogs
TRF.02.38	L19.3	33560	Canis	familiaris			Tasiilaq	Tasiilaq6	Tasiilaq	Greenland	65.61	-37.63	Post						Arctic_Dogs	A1b	M		0.08			0.07	7.07	/data/feuerborntr/Bams/TRF.02.38_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.38_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.38_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.38	D	Tasiilaq6	Post	D_Tasiilaq6_Post	Dogs	Arctic_Dogs
TRF.02.40	Lu.979	95904	Canis	familiaris			WestGL	WestGL1	West	Greenland	70.82	-48.41	Post						Arctic_Dogs	A1a	M		0.08			0.08	7.54	/data/feuerborntr/Bams/TRF.02.40_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.40_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.40_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.40	D	WestGL1	Post	D_WestGL1_Post	Dogs	Arctic_Dogs
TRF.02.41	L.18.194	33486	Canis	familiaris			WestGL	WestGL2	West	Greenland	70.82	-48.41	Post						Arctic_Dogs	A1a	F		0.11			0.1	9.71	/data/feuerborntr/Bams/TRF.02.41_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.41_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.41_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.41	D	WestGL2	Post	D_WestGL2_Post	Dogs	Arctic_Dogs
TRF.02.44	Lu.808	94192	Canis	familiaris			WestGL	WestGL3	West	Greenland	70.82	-48.41	Post						Arctic_Dogs	A2a	M		0.02			0.02	1.65	/data/feuerborntr/Bams/TRF.02.44_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.44_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.44_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.44	D	WestGL3	Post	D_WestGL3_Post	Dogs	Arctic_Dogs
TRF.02.45	Lu.800	94113	Canis	familiaris			WestGL	WestGL4	West	Greenland	70.82	-48.41	Post						Arctic_Dogs	A1a	M		0.01			0.01	1.25	/data/feuerborntr/Bams/TRF.02.45_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.45_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.45_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.45	D	WestGL4	Post	D_WestGL4_Post	Dogs	Arctic_Dogs
TRF.02.47	L.9357	33000	Canis	familiaris	Skin		Uummannaq	Uummannaq2	Uummannaq	Greenland	70.67	-52.13	Post	Collected 1926					Arctic_Dogs	A2a	F		0.35			0.43	33.31	/data/feuerborntr/Bams/TRF.02.47_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.02.47_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.02.47_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.02.47	D	Uummannaq2	Post	D_Uummannaq2_Post	Dogs	Arctic_Dogs
TRF.04.34	AL2076	SNRM_595129	Canis	familiaris			KapBerghaus	KapBerghaus1	KapBerghaus	Greenland	76.000	-29.999	Post						Arctic_Dogs		M		0.36			0.36	29.62	/data/feuerborntr/Bams/TRF.04.34_Merged.CanFam3.1Y.rmdup.bam		/dss/dssfs02/pn29qe/pn29qe-dss-0000/ancient_dogs_bam/Unpub_TRF_GL/TRF.04.34_Merged.CanFam3.1Y.rmdup.bam		Unpub_TRF_GL	TRF.04.34_Merged.CanFam3.1Y.rmdup.bam		Tatiana unpublished Greenland data		TRF.04.34	D	KapBerghaus1	Post	D_KapBerghaus1_Post	Dogs	Arctic_Dogs
